感冒,17.8213309025%
好,8.34092980857%
鼻,5.46946216955%
流,3.8742023701%
鼻涕,3.78304466727%
咳嗽,3.69188696445%
塞,3.5095715588%
扁桃体,3.32725615314%
吃,2.68915223336%
难受,2.59799453054%
天,2.50683682771%
痛,2.50683682771%
水,2.50683682771%
真,2.4612579763%
泪,2.32452142206%
想,2.23336371923%
发炎,2.23336371923%
今天,2.18778486782%
生病,2.096627165%
睡,2.096627165%
点,2.096627165%
说,2.05104831358%
喉咙,2.05104831358%
死,1.95989061076%
人,1.7775752051%
发烧,1.7775752051%
喝,1.36736554239%
疼,1.32178669098%
一个,1.32178669098%
睡觉,1.23062898815%
完,1.18505013674%
医生,1.18505013674%
药,1.13947128532%
现在,1.13947128532%
烧,1.09389243391%
热,1.09389243391%
小,1.09389243391%
有点,1.09389243391%
空调,1.09389243391%
吹,1.0483135825%
再,1.00273473108%
晚上,1.00273473108%
次,1.00273473108%
事,0.911577028259%
下,0.911577028259%
狂,0.911577028259%
太,0.865998176846%
医院,0.865998176846%
打喷嚏,0.820419325433%
头疼,0.820419325433%
明天,0.820419325433%
终于,0.820419325433%
抓,0.820419325433%
晕,0.820419325433%
最,0.77484047402%
可怜,0.77484047402%
鼻子,0.77484047402%
昨天,0.77484047402%
发,0.77484047402%
系,0.729261622607%
感觉,0.729261622607%
嗓子,0.729261622607%
辛苦,0.729261622607%
头痛,0.729261622607%
中,0.729261622607%
头晕,0.683682771194%
回,0.683682771194%
下午,0.683682771194%
病,0.683682771194%
重,0.638103919781%
已经,0.638103919781%
冷,0.638103919781%
知道,0.638103919781%
好像,0.638103919781%
~~,0.638103919781%
做,0.638103919781%
~~~,0.592525068368%
里,0.592525068368%
严重,0.592525068368%
小时,0.592525068368%
累,0.592525068368%
晚安,0.592525068368%
痛苦,0.592525068368%
两,0.592525068368%
木,0.546946216955%
头,0.546946216955%
醒,0.546946216955%
今晚,0.546946216955%
一直,0.546946216955%
最近,0.546946216955%
早,0.546946216955%
算,0.546946216955%
玩,0.546946216955%
身体,0.546946216955%
舒服,0.546946216955%
妈,0.501367365542%
肚子,0.501367365542%
貌似,0.501367365542%
开,0.501367365542%
后,0.501367365542%
家,0.501367365542%
买,0.501367365542%
早点,0.455788514129%
雨,0.455788514129%
挂,0.455788514129%
肿,0.455788514129%
凉,0.455788514129%
喷嚏,0.455788514129%
感冒药,0.455788514129%
宝贝,0.455788514129%
病毒,0.455788514129%
训,0.455788514129%
忙,0.455788514129%
伤,0.455788514129%
只,0.455788514129%
停,0.455788514129%
宝宝,0.455788514129%
厉害,0.455788514129%
成,0.455788514129%
加,0.410209662716%
夏天,0.410209662716%
饭,0.410209662716%
高,0.410209662716%
发现,0.410209662716%
瓶,0.410209662716%
症状,0.410209662716%
一下,0.410209662716%
日,0.410209662716%
哭,0.410209662716%
变,0.410209662716%
浑身,0.410209662716%
特,0.410209662716%
半夜,0.410209662716%
些,0.364630811304%
希望,0.364630811304%
精神,0.364630811304%
困,0.364630811304%
