生病,29.8611111111%
感冒,27.0833333333%
抓狂,25.6944444444%
好,22.2222222222%
难受,19.4444444444%
怒,9.02777777778%
头疼,8.33333333333%
嗓子,7.63888888889%
真是,6.94444444444%
鼻子,6.94444444444%
口服液,6.25%
喝个,6.25%
抗病毒,6.25%
睡觉,5.55555555556%
泪,4.86111111111%
失心,4.16666666667%
做些,4.16666666667%
颠倒,4.16666666667%
圆,4.16666666667%
大半夜,4.16666666667%
两只,4.16666666667%
努力,4.16666666667%
鸭货,4.16666666667%
瞪,4.16666666667%
说,4.16666666667%
难过,4.16666666667%
WIFI,4.16666666667%
猫,4.16666666667%
去年,4.16666666667%
半夜,4.16666666667%
干杯,4.16666666667%
脚,4.16666666667%
胃痉挛,4.16666666667%
阻碍,4.16666666667%
魔鬼,4.16666666667%
疯,4.16666666667%
拉伤,4.16666666667%
吃,4.16666666667%
铁塔,4.16666666667%
不久,4.16666666667%
睡,4.16666666667%
星期,4.16666666667%
老天爷,4.16666666667%
巧合,4.16666666667%
眼睛,4.16666666667%
塔尖,4.16666666667%
十二月,4.16666666667%
真,4.16666666667%
愤怒,3.47222222222%
身体,2.77777777778%
许愿,2.77777777778%
前提,2.77777777778%
容易,2.77777777778%
革命,2.77777777778%
冻,2.77777777778%
严重,2.77777777778%
想,2.77777777778%
挺,2.08333333333%
心情,2.08333333333%
事,2.08333333333%
这次,2.08333333333%
发烧,2.08333333333%
头晕,2.08333333333%
努力学习,2.08333333333%
迟到,2.08333333333%
痛,2.08333333333%
加油,2.08333333333%
一周,2.08333333333%
晕,2.08333333333%
正解,2.08333333333%
美丽,2.08333333333%
肚,2.08333333333%
学习,2.08333333333%
肩膀,2.08333333333%
还要,2.08333333333%
胀,2.08333333333%
行,1.38888888889%
想通,1.38888888889%
我要,1.38888888889%
医院,1.38888888889%
太冷,1.38888888889%
奔波,1.38888888889%
加,1.38888888889%
明白,1.38888888889%
无来,1.38888888889%
老师,1.38888888889%
喉炎,1.38888888889%
许多,1.38888888889%
路上,1.38888888889%
事想,1.38888888889%
麻烦,1.38888888889%
传递,1.38888888889%
节奏,1.38888888889%
鼻涕,1.38888888889%
喝水,1.38888888889%
爱心,1.38888888889%
天气,1.38888888889%
辛苦,1.38888888889%
哈尔滨,1.38888888889%
已经,1.38888888889%
实在,1.38888888889%
真的,1.38888888889%
心疼,1.38888888889%
两次,1.38888888889%
刚点,1.38888888889%
急性,1.38888888889%
成功,1.38888888889%
折腾,1.38888888889%
发炎,1.38888888889%
草,1.38888888889%
真正,1.38888888889%
看着,1.38888888889%
咳嗽,1.38888888889%
上课,1.38888888889%
体会,1.38888888889%
零下,1.38888888889%
二十几度,1.38888888889%
一上午,1.38888888889%
快点,1.38888888889%
深处,1.38888888889%
点滴,1.38888888889%
我家,0.694444444444%
手机,0.694444444444%
折磨,0.694444444444%
撞,0.694444444444%
睡前,0.694444444444%
综合症,0.694444444444%
大姨妈,0.694444444444%
闹闹,0.694444444444%
通气,0.694444444444%
一会,0.694444444444%
妈呀,0.694444444444%
悲伤,0.694444444444%
感觉,0.694444444444%
泪流满面,0.694444444444%
冷,0.694444444444%
呼呼,0.694444444444%
显摆,0.694444444444%
屎,0.694444444444%
病态,0.694444444444%
围观,0.694444444444%
走,0.694444444444%
一下,0.694444444444%
惨,0.694444444444%
