1682673044;3651498166706418;Tue Dec 03 19:01:07 +0800 2013;晕 我在这里:http://t.cn/zRzsEFw;39.958366;116.288399;北京北京市海淀区远大路1号1069-1070室
2179705040;3651498255146805;Tue Dec 03 19:01:28 +0800 2013;帝都就是不一样，公交车上都播新闻联播！！！！！ 我在这里:http://t.cn/z8AU1kg;39.996516412;116.33260526;北京北京市海淀区
2028238743;3651498158521252;Tue Dec 03 19:01:05 +0800 2013;坏人已经看见我了，拿着刀晃啊晃，脸上还笑嘻嘻的~被吓醒了。我是真不喜欢自己住，跟人合租就不用担心这个，可是现在怎么办？想找人合租都没地方。阁楼？又不是纶音兵。 我在这里:http://t.cn/z8AJnJZ;39.9842417591;116.309849939;北京北京市海淀区北四环西路58
1623777837;3651498267119181;Tue Dec 03 19:01:31 +0800 2013;@手机暴风影音 #豌豆荚活动# 我在这里:http://t.cn/z8AGRcq;39.9815552652;116.347931012;北京北京市海淀区
2931679863;3651498183697945;Tue Dec 03 19:01:11 +0800 2013;两个刚剪完头发幼稚的人玩切水果[哈哈] 我在这里:http://t.cn/z8A3bc0;39.96236;116.296471;北京北京市海淀区泉宗路10
1262789103;3651498179621609;Tue Dec 03 19:01:11 +0800 2013;叮叮当，叮叮当，铃儿响叮当 我在这里:http://t.cn/z82leQb;39.97563;116.30627;北京北京市海淀区苏州街26
2029938501;3651497890374423;Tue Dec 03 19:00:01 +0800 2013;[太阳][馋嘴][干杯] 推荐不错！@Bary白梨 我在这里:http://t.cn/zRP1PQl;39.991525;116.334658;北京北京市海淀区
3312903295;3651498036668301;Tue Dec 03 19:00:36 +0800 2013;北电看话剧。 我在这里:http://t.cn/z8A5Zjk;39.974374;116.358025;北京北京市海淀区北三环中路77号
3701526333;3651497919216560;Tue Dec 03 19:00:06 +0800 2013; 19:00  中关村一桥路况 （私信订阅路况，微博应对堵车，请关注@中关村一桥路况）;39.985604;116.316155;北京北京市海淀区
2028238743;3651498137661460;Tue Dec 03 19:00:58 +0800 2013;我不知道怎么就走到邻居家屋里去了，等我反应过来赶紧往外走的时候看见两人拿着刀已经进院子了，我吓得一边后退一边想喊，结果腿软到坐地上了，也没喊出声，等我喊出声~ 我在这里:http://t.cn/z8AJnJZ;39.9842417591;116.309849939;北京北京市海淀区北四环西路58
3547881651;3651498108170774;Tue Dec 03 19:00:50 +0800 2013;分享图片 我在:http://t.cn/8k5oyfn;39.946681;116.295173;北京北京市海淀区
1903556147;3651497914539334;Tue Dec 03 19:00:07 +0800 2013;人家是奔着苏航来的[偷笑] 我在这里:http://t.cn/z8Lo6Qf;39.94772;116.310669;北京北京市海淀区
2801432763;3651498091199923;Tue Dec 03 19:00:48 +0800 2013;小编又要羡慕了@我叫MTOnline_安卓版 我在:http://t.cn/8k5oywb;40.011032;116.361755;北京北京市海淀区
2023578967;3651498086521966;Tue Dec 03 19:00:48 +0800 2013;宿舍的垃圾，累死我了 我在这里:http://t.cn/z8LnJel;39.937011;116.310636;北京北京市海淀区
2244840473;3651497650837214;Tue Dec 03 18:59:02 +0800 2013;卧槽，我真服了某人了。这一天天的，服气了。@我也是花flower http://t.cn/zHecjD7;39.945503367;116.35276057;北京北京市西城区北滨河路2号
1774108633;3651497843836060;Tue Dec 03 18:59:50 +0800 2013;这个桥的红绿灯为啥要设置成4分钟？下班高峰期一次还过不去，真是想跳车的节奏啊[泪] 我在这里:http://t.cn/z8AW5AL;39.9868271011;116.353595734;北京北京市海淀区
2424105623;3651497759819591;Tue Dec 03 18:59:30 +0800 2013;分享图片 我在:http://t.cn/8k5Skvv;39.944435;116.330986;北京北京市海淀区五塔寺村24
2497058561;3651497822739177;Tue Dec 03 18:59:45 +0800 2013;12月的环球银幕太有看点了，环球银幕还是一如既往的高质量~@环球银幕-官方微博 我在:http://t.cn/8k5owuQ;39.958078;116.278501;北京北京市海淀区
2830738207;3651497654734267;Tue Dec 03 18:59:05 +0800 2013;RM里的周一情侣上我结了！@乔巴爱蓝波 @甜love_buaa @西恩古典  我在这里:http://t.cn/z8Aqn7k;39.961498;116.369003;北京北京市海淀区
3045950781;3651497759923310;Tue Dec 03 18:59:30 +0800 2013;生日快乐～小怪兽，过生日要高高兴兴滴，再矫情整事儿……我们也都爱你[爱你][酷]@自然卷啊卷儿;39.987186;116.360282;北京北京市海淀区学院路
