2248712442;3651499055952216;Tue Dec 03 19:04:38 +0800 2013;勤奋，简单，沟通 我在:http://t.cn/8k5oI81;39.959521;116.35288;北京北京市海淀区学院南路15号
1962072117;3651498682764800;Tue Dec 03 19:03:10 +0800 2013;今天经济学课的人少了一半[围观] 我在这里:http://t.cn/z8K1dlE;39.988228;116.300905;北京北京市海淀区
2558080717;3651498401352927;Tue Dec 03 19:02:03 +0800 2013;有一些好累的呢…[鄙视][鄙视][鄙视][鄙视][鄙视][鄙视]要怎么克服呢[委屈][委屈][委屈][委屈]要不[奥特曼]给我点能量～ 我在:http://t.cn/8k5oGhV;39.961975;116.29068;北京北京市海淀区火器营路3
1921046770;3651498347080783;Tue Dec 03 19:01:50 +0800 2013;终于到了！[爱你][爱你] 我在这里:http://t.cn/z8Lo6Qf;39.94772;116.31067;北京北京市海淀区
1623777837;3651498267119181;Tue Dec 03 19:01:31 +0800 2013;@手机暴风影音 #豌豆荚活动# 我在这里:http://t.cn/z8AGRcq;39.9815552652;116.347931012;北京北京市海淀区
2028238743;3651498158521252;Tue Dec 03 19:01:05 +0800 2013;坏人已经看见我了，拿着刀晃啊晃，脸上还笑嘻嘻的~被吓醒了。我是真不喜欢自己住，跟人合租就不用担心这个，可是现在怎么办？想找人合租都没地方。阁楼？又不是纶音兵。 我在这里:http://t.cn/z8AJnJZ;39.9842417591;116.309849939;北京北京市海淀区北四环西路58
1682673044;3651498166706418;Tue Dec 03 19:01:07 +0800 2013;晕 我在这里:http://t.cn/zRzsEFw;39.958366;116.288399;北京北京市海淀区远大路1号1069-1070室
1262789103;3651498179621609;Tue Dec 03 19:01:11 +0800 2013;叮叮当，叮叮当，铃儿响叮当 我在这里:http://t.cn/z82leQb;39.97563;116.30627;北京北京市海淀区苏州街26
2179705040;3651498255146805;Tue Dec 03 19:01:28 +0800 2013;帝都就是不一样，公交车上都播新闻联播！！！！！ 我在这里:http://t.cn/z8AU1kg;39.996516412;116.33260526;北京北京市海淀区
2931679863;3651498183697945;Tue Dec 03 19:01:11 +0800 2013;两个刚剪完头发幼稚的人玩切水果[哈哈] 我在这里:http://t.cn/z8A3bc0;39.96236;116.296471;北京北京市海淀区泉宗路10
2023578967;3651498086521966;Tue Dec 03 19:00:48 +0800 2013;宿舍的垃圾，累死我了 我在这里:http://t.cn/z8LnJel;39.937011;116.310636;北京北京市海淀区
3547881651;3651498108170774;Tue Dec 03 19:00:50 +0800 2013;分享图片 我在:http://t.cn/8k5oyfn;39.946681;116.295173;北京北京市海淀区
2028238743;3651498137661460;Tue Dec 03 19:00:58 +0800 2013;我不知道怎么就走到邻居家屋里去了，等我反应过来赶紧往外走的时候看见两人拿着刀已经进院子了，我吓得一边后退一边想喊，结果腿软到坐地上了，也没喊出声，等我喊出声~ 我在这里:http://t.cn/z8AJnJZ;39.9842417591;116.309849939;北京北京市海淀区北四环西路58
3312903295;3651498036668301;Tue Dec 03 19:00:36 +0800 2013;北电看话剧。 我在这里:http://t.cn/z8A5Zjk;39.974374;116.358025;北京北京市海淀区北三环中路77号
2029938501;3651497890374423;Tue Dec 03 19:00:01 +0800 2013;[太阳][馋嘴][干杯] 推荐不错！@Bary白梨 我在这里:http://t.cn/zRP1PQl;39.991525;116.334658;北京北京市海淀区
3701526333;3651497919216560;Tue Dec 03 19:00:06 +0800 2013; 19:00  中关村一桥路况 （私信订阅路况，微博应对堵车，请关注@中关村一桥路况）;39.985604;116.316155;北京北京市海淀区
2801432763;3651498091199923;Tue Dec 03 19:00:48 +0800 2013;小编又要羡慕了@我叫MTOnline_安卓版 我在:http://t.cn/8k5oywb;40.011032;116.361755;北京北京市海淀区
1903556147;3651497914539334;Tue Dec 03 19:00:07 +0800 2013;人家是奔着苏航来的[偷笑] 我在这里:http://t.cn/z8Lo6Qf;39.94772;116.310669;北京北京市海淀区
2497058561;3651497822739177;Tue Dec 03 18:59:45 +0800 2013;12月的环球银幕太有看点了，环球银幕还是一如既往的高质量~@环球银幕-官方微博 我在:http://t.cn/8k5owuQ;39.958078;116.278501;北京北京市海淀区
2830738207;3651497654734267;Tue Dec 03 18:59:05 +0800 2013;RM里的周一情侣上我结了！@乔巴爱蓝波 @甜love_buaa @西恩古典  我在这里:http://t.cn/z8Aqn7k;39.961498;116.369003;北京北京市海淀区
