2283953673;3654700995519627;Thu Dec 12 15:08:02 +0800 2013;CA1623@非常准  我在:http://t.cn/8kiZQ14;45.76659;126.652435;黑龙江省哈尔滨市南岗区东大直街175
2829707447;3654700810939277;Thu Dec 12 15:07:16 +0800 2013;每天摇一摇，红包、优惠券不间断！ http://t.cn/8kiZTcl 我在这里:http://t.cn/zRbVMQq;45.7643;126.65027;黑龙江省哈尔滨市南岗区
2810064913;3654700719590154;Thu Dec 12 15:06:55 +0800 2013;别羡慕别人家的媳妇会省钱，会过日子，💃养大鹅跟养天鹅的成本能一样嘛？ 我在:http://t.cn/8kiZYww;45.749084;126.65963;黑龙江省哈尔滨市南岗区
2737377130;3654700614511335;Thu Dec 12 15:06:28 +0800 2013;我要为自己赌一次，希望自己能赢。 我在:http://t.cn/8kiZlWI;45.742445;126.65739;黑龙江省哈尔滨市南岗区
3196316344;3654700165601030;Thu Dec 12 15:04:42 +0800 2013;真他妈闹心，总是事与愿违[泪][泪] 我在:http://t.cn/8kiZC03;45.763412;126.653465;黑龙江省哈尔滨市南岗区花园街235号
2003184861;3654699812795662;Thu Dec 12 15:03:18 +0800 2013;经历一些事情才能看清一些人 我在:http://t.cn/8kiZaep;45.766704;126.668167;黑龙江省哈尔滨市南岗区宣化街400
1794383843;3654698042807962;Thu Dec 12 14:56:16 +0800 2013;. http://t.cn/zj5ZNFL;45.76089;126.64375;黑龙江省哈尔滨市南岗区建设街101号
1712307782;3654697615637953;Thu Dec 12 14:54:35 +0800 2013;最近特喜欢伊丽莎白雅顿。来了一套。期待好的效果吧～@红门雅顿  我在这里:http://t.cn/z8LaKXc;45.749722;126.649071;黑龙江省哈尔滨市南岗区联部街47
2870926702;3654697535230846;Thu Dec 12 14:54:16 +0800 2013;从13年走到14年，是否意味着可以一生一世……[爱你]@Sean-郭不紧 我在:http://t.cn/8kV2R2J;45.756398;126.650374;黑龙江省哈尔滨市南岗区
3935906684;3654697179142049;Thu Dec 12 14:52:51 +0800 2013;和三年未见的表弟见了面  很好很好  [嘻嘻] 我在:http://t.cn/zHecDPx;45.763244;126.658195;黑龙江省哈尔滨市南岗区
1853445550;3654697212760923;Thu Dec 12 14:52:58 +0800 2013;【双11上手机淘宝不只是5折】用手机快人一步抢先下单，更有1000W免单等你来抢！ http://t.cn/8kizds1 我在:http://t.cn/8kizds2;45.748056;126.656191;黑龙江省哈尔滨市南岗区中山路171号
3925817033;3654696592318949;Thu Dec 12 14:50:31 +0800 2013;二十八、求释疑7，《意见》第四条说:xxx同志免职期间没有停止正常工作，没有受到不公正待遇，工资没有受到影响。这与放屁有什么区别，上级文件明确要求:其工作问题，由单位和上级主管部门考虑商定。你们是怎么商定的，难道不落实上级文件是对本人的最公正的待遇？ 我在:http://t.cn/8kcU1Ou;45.752304;126.65868;黑龙江省哈尔滨市南岗区
3190023495;3654695933280453;Thu Dec 12 14:47:55 +0800 2013;你不是一个人，难过了就你告诉我。 我不保证可以逗你笑，但至少我可以，安静地陪着你。爱情也好，友情也罢。 我在:http://t.cn/8kizWkq;45.748344;126.630814;黑龙江省哈尔滨市南岗区西大直街63
2607500235;3654695660616178;Thu Dec 12 14:46:49 +0800 2013;屌丝逛商场[偷笑][偷笑]就买了点纸@Soledary安  我在这里:http://t.cn/z8AT5py;45.762299;126.636208;黑龙江省哈尔滨市南岗区
2808322017;3654695434356854;Thu Dec 12 14:45:56 +0800 2013;给皮肤增加弹力，保湿，抗衰老，让皮肤更加有光泽~ 我在:http://t.cn/8kiz98c;45.743988;126.643934;黑龙江省哈尔滨市南岗区
2607500235;3654695354163994;Thu Dec 12 14:45:36 +0800 2013;有时希望自己一个人、有时希望被好多人看着，人都是这么矛盾吗 我在这里:http://t.cn/z8AT5py;45.762299;126.636208;黑龙江省哈尔滨市南岗区
2166312335;3654694985894070;Thu Dec 12 14:44:07 +0800 2013;这一天我在这里:#黑龙江省,哈尔滨市,南岗区,龙江街#我要开始为自己过 我在:http://t.cn/zHeJy2S;45.763233;126.65818;黑龙江省哈尔滨市南岗区
2808322017;3654694054466510;Thu Dec 12 14:40:26 +0800 2013;含有红石榴精华，给皮肤洁净，水灵，保湿，镇静，升气~ 我在:http://t.cn/8kizzta;45.743974;126.6439;黑龙江省哈尔滨市南岗区
2011008160;3654693739645959;Thu Dec 12 14:39:11 +0800 2013;#1212扫码分钱#用淘宝手机客户端来扫码可以分到钱，能不能分到500万今晚见分晓！别看了，赶紧用淘宝客户端来扫吧。 http://t.cn/8kizU2i 我在:http://t.cn/8kizUAS;45.749237;126.66135;黑龙江省哈尔滨市南岗区
2808322017;3654693236835458;Thu Dec 12 14:37:10 +0800 2013;含有豪华蜂胶胶冻，给干燥疲惫的肌肤滋润，镇静，保湿，低刺激~ 我在:http://t.cn/8kizzta;45.743974;126.6439;黑龙江省哈尔滨市南岗区
1003490571;3654693400440940;Thu Dec 12 14:37:50 +0800 2013;分享图片 我在:http://t.cn/8kizwOG;45.774375;126.640968;黑龙江省哈尔滨市道外区景阳街178号
3359815064;3654693043050719;Thu Dec 12 14:36:25 +0800 2013;今天去领独生子女费，告诉我说，是从2000年以后领取，我81的到00年正好18岁，非常幸运正好没有。83和82的都有，就我们这段没有，回来我就想80后真好，什么政策都能赶上，不怪父母们总说，我们是幸福的一代，。真幸福，总在浪尖上。只从2千年以后到18周岁。命啊！！！！！！！！！;45.763233;126.658172;黑龙江省哈尔滨市南岗区
3101950275;3654693014203141;Thu Dec 12 14:36:17 +0800 2013;第一次这样的山寨呢！ 我在:http://t.cn/8kizvDw;45.754929;126.63887;黑龙江省哈尔滨市南岗区
2011008160;3654692716112541;Thu Dec 12 14:35:06 +0800 2013;1212摇身变土豪不是梦 http://t.cn/8ki7D3p 我在:http://t.cn/8ki7Dun;45.749195;126.661569;黑龙江省哈尔滨市南岗区
3925817033;3654692687162486;Thu Dec 12 14:34:58 +0800 2013;二十七、求释疑6，《竟见》第三条说:XXX同志免职期间的材料全部清理并销毁，这点可以理解，但不会将落实上级文件的材料也同时销毁了吧？非常简单的事，理工大学党委能拿出落实上级文件的依据也就没事了，可是哈尔滨理工大学极尽推诿、搪塞之能事，就是不解决问题 我在:http://t.cn/8kcU1Ou;45.752304;126.65868;黑龙江省哈尔滨市南岗区
1592047385;3654691831261141;Thu Dec 12 14:31:36 +0800 2013;一晃过去了好几年 回想这些年发生的种种 好多事 好多人 每个人的生命里会出现多少个过客 不知道以后的路是什么样 眼看就要实习了 从此再也不是学生的身份 尹钰莹 你要加油 一个人也不是不可以 希望一切都会越来越好 我会越来越强大的[拳头][拳头] 我在:http://t.cn/8ki781v;45.770218;126.641808;黑龙江省哈尔滨市道外区景阳街76
1813020827;3654691701603788;Thu Dec 12 14:31:05 +0800 2013;我在:#哈尔滨新世界百货#多长时间不微博了，不知道要怎么做。恩，不知道咋的了[酷];45.7555379719;126.643470585;黑龙江省哈尔滨市南岗区红军街38号
1998183310;3654691651379815;Thu Dec 12 14:30:51 +0800 2013;相同的认知结构，语意空间，这才是平等对话的基础，只是差的太多~ 我在:http://t.cn/8ki7H4Y;45.761913;126.665895;黑龙江省哈尔滨市南岗区大成二道街15
3180342855;3654691323411636;Thu Dec 12 14:29:35 +0800 2013;同舟医药 我在:http://t.cn/8ki7lbS;45.7506946667;126.631118687;黑龙江省哈尔滨市南岗区松花江街91号
1142912052;3654690854123571;Thu Dec 12 14:27:43 +0800 2013;我们除了他谁都不认 我在:http://t.cn/8ki7Cwv;45.759678;126.650467;黑龙江省哈尔滨市南岗区花园街304号
3166154125;3654690875560503;Thu Dec 12 14:27:48 +0800 2013;#微博图谱搜索#@刺Weiwei  我在:http://t.cn/8ki7Ci7;45.751579;126.63781;黑龙江省哈尔滨市南岗区耀景街43
2570678457;3654690359130986;Thu Dec 12 14:25:45 +0800 2013;总觉得自己的身上有一个魔咒!每当恋爱接近婚姻的边缘就会心中各种不安各种彷徨!现实也如此!每每状况百出!我怕了!真怕这个魔咒真的存在 我在:http://t.cn/zRy0HSH;45.759068;126.641541;黑龙江省哈尔滨市南岗区颐园街2号香港华融饭店B1层
2403978933;3654690070112646;Thu Dec 12 14:24:35 +0800 2013;今天打的第一通电话，哎我去，真长记性！ 我在:http://t.cn/8kV5FDD;45.772239;126.664363;黑龙江省哈尔滨市南岗区新文街36
2773244167;3654689914188447;Thu Dec 12 14:23:58 +0800 2013;#手机淘宝微淘寻宝#500万份现金红包，不想中都难啊！最高4999元，每天还有额外惊喜！和我一起抢吧！ http://t.cn/8ki7fe3 我在:http://t.cn/8ki7fgG;45.774065;126.644809;黑龙江省哈尔滨市道外区
2709152295;3654689658859871;Thu Dec 12 14:22:59 +0800 2013;生气 😠 😠 😠！ 我在:http://t.cn/8kfw4xi;45.759219;126.640346;黑龙江省哈尔滨市南岗区
3097171891;3654689276839217;Thu Dec 12 14:21:27 +0800 2013;#1212扫码分钱#用淘宝手机客户端来扫码可以分到钱，能不能分到500万今晚见分晓！别看了，赶紧用淘宝客户端来扫吧。 http://t.cn/8ki74qu 我在:http://t.cn/8ki74qc;45.766978;126.628777;黑龙江省哈尔滨市道里区工厂街43号
2116709043;3654688820028007;Thu Dec 12 14:19:36 +0800 2013;我爱的人告诉我“不会是一个人”所以证明她很爱我  我不是没人要的孩纸  但我更爱她[爱你][爱你][爱你] 我在:http://t.cn/8kqdu4A;45.757838;126.673625;黑龙江省哈尔滨市南岗区
1678820754;3654688614452278;Thu Dec 12 14:18:49 +0800 2013;分享图片 我在:http://t.cn/8ki77Pc;45.766941;126.655441;黑龙江省哈尔滨市南岗区大成街188号
2808322017;3654688652211647;Thu Dec 12 14:18:57 +0800 2013;含有美白精华素，给皮肤保湿收敛透亮的效果~ 我在:http://t.cn/8kihn5E;45.744005;126.64403;黑龙江省哈尔滨市南岗区
2314584274;3654688233007129;Thu Dec 12 14:17:18 +0800 2013;身份证找不到了，明天怎么出门？ 我在:http://t.cn/8kihFGF;45.749301;126.660964;黑龙江省哈尔滨市南岗区
3250249045;3654688270689543;Thu Dec 12 14:17:26 +0800 2013;老师在台上讲，底下同学都专著于自己的事，老师是什么感觉呢？ 我在:http://t.cn/8kihFRO;45.768707;126.647525;黑龙江省哈尔滨市道外区
2011455762;3654688014767500;Thu Dec 12 14:16:25 +0800 2013;#哈尔滨公寓出租#宣化街363号18楼，18套，20-30平米，全新精装，宽带，有线电视，家电齐全，空调，洗衣机，热水器，冰箱等，可做饭。全新床品，拎包入住。地热供暖，24小时监控和打更人员，安全可靠。租金2000左右，租期越长优惠越大，欢迎看房！电：13384615255 我在:http://t.cn/8kiheXW;45.742055;126.649291;黑龙江省哈尔滨市南岗区
1687616325;3654687867928152;Thu Dec 12 14:15:51 +0800 2013;发工资了[耶][耶][耶] 我在:http://t.cn/8kihd0I;45.758457;126.629135;黑龙江省哈尔滨市南岗区铁路街16号
2808322017;3654687750456026;Thu Dec 12 14:15:22 +0800 2013;含有红參高浓度汁液，各种美容成分，给皮肤增加弹性和滋润~ 我在:http://t.cn/8kihn5E;45.744005;126.64403;黑龙江省哈尔滨市南岗区
2703871737;3654687775242745;Thu Dec 12 14:15:29 +0800 2013;1212摇身变土豪不是梦 http://t.cn/8kihr5s 我在:http://t.cn/zHexEwV;45.76324;126.658187;黑龙江省哈尔滨市南岗区
