2712334163;3651911541031922;Wed Dec 04 22:23:41 +0800 2013;没关系我们只是朋友，偶尔……;45.759628;126.628585;黑龙江省哈尔滨市南岗区铁路街16号
1879776027;3651911217993768;Wed Dec 04 22:22:26 +0800 2013;#MIUI天气# 今天哈尔滨天气晴, 低温:-11°, 西风。12月4日 21:00发布。 我在:http://t.cn/8ktjECW;45.737241;126.644742;黑龙江省哈尔滨市南岗区文森街
1879776027;3651911251556782;Wed Dec 04 22:22:35 +0800 2013;#MIUI天气# 今天哈尔滨天气晴, 低温:-11°, 西风。12月4日 21:00发布。 我在:http://t.cn/8ktjECW;45.737241;126.644742;黑龙江省哈尔滨市南岗区文森街
1672748331;3651910584504938;Wed Dec 04 22:19:52 +0800 2013;我想我该写篇日志了 为我的青春留下最后的文字 随着你的逝去 我唯一能做的就是用文字来祭奠你 辰 谢谢你给我最后的宠爱 我在:http://t.cn/8kqj63G;45.735155;126.6479;黑龙江省哈尔滨市南岗区
3497697467;3651909925425442;Wed Dec 04 22:17:18 +0800 2013;身体好才是革命的前提，生病真是难受。[生病] 我在:http://t.cn/8ktjSG2;45.763287;126.640892;黑龙江省哈尔滨市南岗区果戈里大街456-4
2050828370;3651910014210078;Wed Dec 04 22:17:39 +0800 2013;#美宝莲极细#@美宝莲  哈尔滨 新一百 CE 王隶广 电话：15104535418   我在:http://t.cn/8ktjoaC;45.755653;126.650719;黑龙江省哈尔滨市南岗区
1842779171;3651909216870739;Wed Dec 04 22:14:30 +0800 2013;远大在迎接圣诞。好嗨皮啊。 我在:http://t.cn/8ktjVbw;45.761841;126.648857;黑龙江省哈尔滨市南岗区
2376047293;3651908776811015;Wed Dec 04 22:12:41 +0800 2013;《老有所依》看着太虐心了，气死我了 还是直接看结局吧，什么媳妇那么不可理喻那么刁钻刻薄，什么儿子那么窝窝囊囊那么不成大气，三观都快被毁了，父母在不远游，要是谁敢让我爸妈受气试试;45.74248;126.62518;黑龙江省哈尔滨市南岗区西大直街161号
1951180097;3651907622747572;Wed Dec 04 22:08:08 +0800 2013;我想你了，这是病，得治，还好不太严重，能治愈！ 我在:http://t.cn/8ktlejs;45.746704;126.613876;黑龙江省哈尔滨市道里区
1975288380;3651907622832451;Wed Dec 04 22:08:09 +0800 2013;守护宝宝 [熊猫][熊猫]697 期待163   wanan 宝宝  等待 我在:http://t.cn/8ktleHd;45.754768;126.625659;黑龙江省哈尔滨市南岗区满洲里街与货栈街交汇处
2278386521;3651907572494146;Wed Dec 04 22:07:57 +0800 2013;我就这么个人，谁对我好我就对谁好。只要你把我当回事，你的事就是我的事。你把事办明白，我就不能差你事。朋友要交就真心实意，不是就你会玩心計。不要整虚情假意，谁对我好我知道。拿我当回事的，有事不用你说话，我肯定到位。 我在:http://t.cn/8ktlgF7;45.750938;126.61837;黑龙江省哈尔滨市道里区大民兴街9
3177045670;3651906628571068;Wed Dec 04 22:04:10 +0800 2013;我的实验报告啊[偷笑][偷笑]我在这里:http://t.cn/8ktlqbB;45.74253;126.63665;黑龙江省哈尔滨市南岗区
2648864253;3651906582427826;Wed Dec 04 22:04:00 +0800 2013;又重新列了几件事，不写下来转身就忘，跟亮亮见面也约到了下周，也好下周或许都有了些眉目和头绪。幸尔琪琪没跟着回来，要不真顾不过来，利用这段时间好好休息和思考。坚持坐浴。 我在:http://t.cn/8ktlToe;45.734269;126.646755;黑龙江省哈尔滨市南岗区
1749082907;3651906645916712;Wed Dec 04 22:04:16 +0800 2013;烦躁中🐻 我在这里:http://t.cn/z8AqCXD;45.75425;126.618019;黑龙江省哈尔滨市道里区
3120083264;3651906423024492;Wed Dec 04 22:03:22 +0800 2013;世界上幸福的人很多而且幸福的原因都一样。不幸的人大致可以分为两类，要么没钱，要么没爱！ 我在:http://t.cn/8ktllsu;45.734165;126.62812;黑龙江省哈尔滨市南岗区
3177045670;3651906473362557;Wed Dec 04 22:03:34 +0800 2013;今天好冷啊，空气还这么差[泪][泪][黑线][黑线]我在这里:http://t.cn/8ktlxTA;45.742397;126.63675;黑龙江省哈尔滨市南岗区
3930028632;3651906104559309;Wed Dec 04 22:02:07 +0800 2013;上班中 我在这里:http://t.cn/z8ADruC;45.7508;126.6355;黑龙江省哈尔滨市南岗区西大直街86
2216428295;3651906218452758;Wed Dec 04 22:02:34 +0800 2013;这事那事，这事那事，闹死了 我在:http://t.cn/8ktl0eP;45.754653;126.632392;黑龙江省哈尔滨市南岗区
1674067067;3651906104928138;Wed Dec 04 22:02:05 +0800 2013;准备去长春了，其实想直接回天津的，因为没票了，只能在长春玩一下在转车了。（RMB不够了。。。） 我在这里:http://t.cn/z8AtI1n;45.76046;126.635674;黑龙江省哈尔滨市南岗区红军街85号
